"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON"
"271",11,"Jordan James",SF,"RB83","14","3 out of 5 stars"
"272",11,"Ty Johnson",BUF,"RB84","7","4 out of 5 stars"
"273",11,"Khalil Herbert",IND,"RB85","11","2 out of 5 stars"
"274",11,"Noah Gray",KC,"TE32","10","3 out of 5 stars"
"275",11,"Kayshon Boutte",NE,"WR95","14","3 out of 5 stars"
"276",11,"Malik Washington",MIA,"WR96","12","3 out of 5 stars"
"277",11,"Matt Gay",WAS,"K15","12","3 out of 5 stars"
"278",11,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars"
"279",11,"Tyler Shough",NO,"QB33","11","5 out of 5 stars"
"280",11,"Jacory Croskey-Merritt",WAS,"RB86","12","2 out of 5 stars"
"281",11,"Tre Tucker",LV,"WR97","8","4 out of 5 stars"
"282",11,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars"
"283",11,"Dameon Pierce",HOU,"RB87","6","2 out of 5 stars"
"284",11,"Isaiah Davis",NYJ,"RB88","9","5 out of 5 stars"
"285",11,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars"
"286",11,"Alexander Mattison",MIA,"RB89","12","4 out of 5 stars"
"287",11,"Theo Johnson",NYG,"TE34","14","2 out of 5 stars"
"288",11,"Amari Cooper",FA,"WR98","-","-"
"289",11,"Tim Patrick",DET,"WR99","8","3 out of 5 stars"
"290",11,"Sincere McCormick",LV,"RB90","8","2 out of 5 stars"
"291",11,"Terrance Ferguson",LAR,"TE35","8","4 out of 5 stars"
"292",11,"Parker Washington",JAC,"WR100","8","4 out of 5 stars"
"293",11,"Taysom Hill",NO,"TE36","11","3 out of 5 stars"
"294",11,"Darren Waller",MIA,"TE37","12","3 out of 5 stars"
"295",11,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars"
"296",11,"Jalen Nailor",MIN,"WR101","6","2 out of 5 stars"
"297",11,"Kimani Vidal",LAC,"RB91","12","2 out of 5 stars"
"298",11,"Tory Horton",SEA,"WR102","8","3 out of 5 stars"
"299",11,"Luke McCaffrey",WAS,"WR103","12","3 out of 5 stars"
"300",12,"Damien Martinez",SEA,"RB92","8","3 out of 5 stars"
"301",12,"Xavier Restrepo",TEN,"WR104","10","4 out of 5 stars"
"302",12,"Noah Fant",CIN,"TE38","10","2 out of 5 stars"
